Tour Date,Format Date,Codes,Tour,City,Country,Account Group,Account,Amount
2023-02-25,2023-02-25,Boat App,"Best of Niagara Falls, Canada Exclusive Private Tour","Niagara Falls, Canada",Canada,Revenue,Tour Income,2506.0
2023-02-14,2023-02-14,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,622.4
2023-02-11,2023-02-11,Boat App,Scenic Miami Night Tour,Miami,USA,Revenue,Tour Income,63.2
2023-02-04,2023-02-04,Boat App,Miami City Tour,Miami,USA,Revenue,Tour Income,55.2
2023-01-19,2023-01-19,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,286.4
2023-01-05,2023-01-05,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,357.6
2023-01-04,2023-01-04,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,778.0
2023-01-04,2023-01-04,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,537.0
2023-02-18,2023-02-18,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,516.0
2023-02-17,2023-02-17,Boat App,Everglades Express from Fort Lauderdale Tour,Fort Lauderdale,USA,Revenue,Tour Income,134.4
2023-02-18,2023-02-18,Boat App,Best of Boston Autumn Tour,Boston,USA,Revenue,Tour Income,436.8
2023-02-18,2023-02-18,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,286.4
2023-02-17,2023-02-17,Boat App,Austin City Tour with State Capitol,Austin,USA,Revenue,Tour Income,55.2
2023-02-18,2023-02-18,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
2023-02-17,2023-02-17,Boat App,Scenic San Antonio Night Tour with River Cruise,San Antonio,USA,Revenue,Tour Income,366.0
2023-02-17,2023-02-17,Boat App,Night on Niagara with Power Station Light Show,"Niagara Falls, Canada",Canada,Revenue,Tour Income,366.4
2023-02-18,2023-02-18,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,143.2
2023-02-18,2023-02-18,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
2023-02-18,2023-02-18,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,159.2
2023-02-18,2023-02-18,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,622.4
2023-02-19,2023-02-19,Boat App,Best of Miami Exclusive Private Tour,Miami,USA,Revenue,Tour Income,0.0
2023-02-11,2023-02-11,Boat App,Ultimate Niagara Falls (Canada) Tour w/ Helicopter + Lunch,"Niagara Falls, Canada",Canada,Revenue,Tour Income,778.0
2023-02-10,2023-02-10,Boat App,Scenic Savannah Night Tour with Riverboat Dinner Cruise,Savannah,USA,Revenue,Tour Income,191.2
2023-01-28,2023-01-28,Boat App,Best of Toronto Tour,Toronto,Canada,Revenue,Tour Income,159.2
2023-02-18,2023-02-18,Boat App,Best of Chicago Tour,Chicago,USA,Revenue,Tour Income,318.4
2023-02-17,2023-02-17,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
2023-02-17,2023-02-17,Boat App,Best of Halifax Tour including Peggy's Cove,Halifax,Canada,Revenue,Tour Income,261.6
2023-02-14,2023-02-14,Boat App,Best of Philadelphia Tour,Philadelphia,USA,Revenue,Tour Income,111.2
2023-02-17,2023-02-17,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
2023-02-14,2023-02-14,Boat App,Best of Chicago Tour,Chicago,USA,Revenue,Tour Income,318.4
2023-02-17,2023-02-17,Boat App,Best of Niagara Falls Tour - Canada,"Niagara Falls, Canada",Canada,Revenue,Tour Income,286.4
2023-02-12,2023-02-12,Boat App,Best of Miami from Fort Lauderdale,Fort Lauderdale,USA,Revenue,Tour Income,127.2
2023-02-16,2023-02-16,Boat App,Everglades Express from Fort Lauderdale Tour,Fort Lauderdale,USA,Revenue,Tour Income,268.8
2023-02-16,2023-02-16,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
2023-02-16,2023-02-16,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
2023-02-17,2023-02-17,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,476.8
2023-02-17,2023-02-17,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,238.4
2023-02-11,2023-02-11,Boat App,Best of Savannah Tour,Savannah,USA,Revenue,Tour Income,143.2
2023-02-11,2023-02-11,Boat App,Best of Fort Lauderdale,Fort Lauderdale,USA,Revenue,Tour Income,135.2
2023-02-10,2023-02-10,Boat App,Scenic Savannah Night Tour with Riverboat Dinner Cruise,Savannah,USA,Revenue,Tour Income,191.2
2023-02-10,2023-02-10,Boat App,Scenic Savannah Night Tour with Riverboat Dinner Cruise,Savannah,USA,Revenue,Tour Income,191.2
2023-02-09,2023-02-09,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,298.0
2023-01-20,2023-01-20,Boat App,Scenic Miami Night Tour,Miami,USA,Revenue,Tour Income,63.2
2023-02-16,2023-02-16,Boat App,Best of Halifax Tour including Peggy's Cove,Halifax,Canada,Revenue,Tour Income,103.2
2023-02-16,2023-02-16,Boat App,Best of Niagara Falls Tour from Toronto,"Niagara Falls, Canada",Canada,Revenue,Tour Income,897.0
2023-02-16,2023-02-16,Boat App,Best of San Antonio Tour,San Antonio,USA,Revenue,Tour Income,436.8
